date,user/page_name,description,media link,tags
2023-11-16,ben_jwina,"['ضربة قاضية ارسله الى الفضاء ', ' 🥊🥊🥇🔥']",https://www.tiktok.com/@ben_jwina/video/7302169826313768198,"['#Boxing', '#box', '#الملاكمة', '#maroc', '#algeria']"
2023-11-30,droit_maroc1,[],https://www.tiktok.com/@droit_maroc1/video/7307258417540844805,"['#اكسبلور', '#rabat', '#marrakech', '#ساريكول', '#hoyam_star', '#صوفيا_طالوني', '#رضا_ولد_شينوية', '#ندى_حاسي', '#هيام_ستار', '#مراكش', '#مغرب', '#مغربية🇲🇦', '#sari_cool', '#soufia_talouni', '#باشا_حمو⚔️♥️📿', '#لالة_مليكة', '#لالة_ميرا💛', '#يهودي', '#مغربية🇲🇦', '#مغرب', '#مراكش', '#هيام_ستار', '#marrakech', '#rabat', '#اكسبلور', '#دنيا_بطمه', '#soufia_talouni', '#sari_cool', '#tiktokmaroc', '#tiktok', '#maroc', '#casablanca', '#marocaine', '#agadir', '#morocco', '#tanger', '#rabat', '#algerie', '#like', '#tetouan', '#marrakech', '#tiktokalgeria', '#tunisie', '#algerienne', '#instagram', '#oujda', '#saadlamjarred', '#musically', '#tiktokdance', '#music', '#tiktokindonesia', '#fashion', '#meknes', '#tiktokindia', '#nador', '#tiktokchallenge', '#love', '#casa']"
2023-12-07,anassazzi,"['عندك غادي تاخد طوموبيل .. ماعندكش حتا هي غادي تاخد 😂❤️ ', ' --- ', '@3azzy.anass']",https://www.tiktok.com/@anassazzi/video/7309878881169837317,"['@Opel Maroc', '#marocaine🇲🇦tiktok_اكسبلور🌏✨♥️♥️', '#explore', '#carsoftiktok', '#الشعب_الصيني_ماله_حل😂😂', '#المغرب🇲🇦تونس🇹🇳الجزائر🇩🇿ليبيا🇱🇾', '#مغربية🇲🇦', '#maroc', '#trendingsong', '#ترند_جديد🔥2021🎬', '#autohall']"
2023-11-23,wijdaan_a,['شوها تاع درياتش'],https://www.tiktok.com/@wijdaan_a/video/7304736254371925253,"['#fyyyyyyyyyyyyyyyy', '#fyp', '#tiktok', '#viral', '#maroco🇲🇦algeria🇩🇿tunisia🇹🇳', '#fyyyyyyyyp', '#درياتش', '#ikbal']"
2023-11-23,amaljernaneofficiel,['🥖 باكيط خطيييير البنات المكونات بنصف كيلو دقيق : 500 غ دقيق خاص بالخبز 15 غ سكر خشن 10 غ ملح 🧂 8 غ خميرة حبيبات 320 مل 💧 ماءً دافئ المكونات بكيلو دقيق 1000 غ دقيق خاص بالخبز 30 غ سكر خشن 20 غ ملح 16 غ خميرة جافة 640 مل ماء 💧 دافئ '],https://www.tiktok.com/@amaljernaneofficiel/video/7304706277265902854,"['#باكيط', '#باكيط_منزلي', '#baggette', '#مخبوزات', '#مخبوزاتي', '#patesserie', '#patesseriefrançaise', '#cooking', '#explore', '#maroc']"
2023-11-12,moro_ccoooo,['شوفو اش قال تبارك الله عليه🙏🙏 '],https://www.tiktok.com/@moro_ccoooo/video/7300658467772058885,"['#morocco🇲🇦', '#اكسبلور', '#fypシ', '#التعليم', '#معتوق_جمال', '#بوعيدة_عبدالرحيم', '#DimaMaghrib', '#viralvideo', '#foryou', '#maroc']"
2023-11-13,moroccomarvels2,[],https://www.tiktok.com/@moroccomarvels2/video/7300963325045689606,"['#visa', '#schengen', '#schengenvisa', '#ambassade_de_france', '#marocain', '#marocaine🇲🇦', '#fyp', '#tik', '#rabat', '#paris']"
2023-11-23,livemaroc70,[],https://www.tiktok.com/@livemaroc70/video/7304649015990242566,"['@redasoussia', '@ayoub.zhar', '@idroo.sabiri', '@chaimaajb3', '#marocaine🇲🇦', '#fyp', '#الشعب_الصيني_ماله_حل😂😂', '#foryoupage']"
2023-11-22,kimocookingstudio,"['وصفات الشيف كيمو المغربية العريقة❤️ سلطات الشيف كيمو الاربعة🇲🇦🇲🇦 ', ' #']",https://www.tiktok.com/@kimocookingstudio/video/7304373441870826758,"['#dubai🇦🇪', '#paris', '#france🇫🇷', '#cookingshow', '#cuisinemarocaine🇲🇦', '#فاس_مكناس💛♥️', '#marocaine🇲🇦', '#algerie🇩🇿', '#AnfaplaceMall', '#marocaine🇲🇦🇲🇦', '#SaveursInternationales', '#juifmarocain🇲🇦']"
2023-11-24,bouz_2023,[],https://www.tiktok.com/@bouz_2023/video/7305066910130113798,"['#grandtoto', '#elgrandtoto', '#marooco', '#🇲🇦🇩🇿', '#fyp', '#foryou', '#music', '#rapmarocain🇲🇦']"
